# This data is provided "as is".  Guidewire does not guarantee its correctness or completeness, nor do we plan to update it.
01000,St Denis Les Bourg
01000,Bourg En Bresse
01000,Brou
01090,Montceaux
01090,Montmerle Sur Saone
01090,Genouilleux
01090,Guereins
01090,Lurcy
01090,Amareins
01090,Amareins Francheleins Ces
01090,Cesseins
01100,Veyziat
01100,Geovreisset
01100,Oyonnax
01100,Apremont
01100,Arbent
01100,Bouvent
01110,Thezillieu
01110,Corcelles
01110,Corlier
01110,Cormaranche En Bugey
01110,Hauteville Lompnes
01110,Hostias
01110,Premillieu
01110,Aranc
01110,Brenod
01110,Champdor
01120,Ste Croix
01120,Thil
01120,Montluel
01120,Nievroz
01120,Cordieux
01120,Dagneux
01120,Jailleux
01120,Pizay
01120,Rapan
01120,La Boisse
01120,La Lechere
01120,Chanes
01130,Nantua
01130,Echallon
01130,Giron
01130,Plagne
01130,St Germain De Joux
01130,Lalleyriat
01130,Le Poizat
01130,Les Neyrolles
01130,Belleydoux
01130,Charix
01140,Thoissey
01140,Valeins
01140,Mogneneins
01140,Garnerans
01140,Illiat
01140,Peyzieux Sur Saone
01140,St Didier Sur Chalaronne
01140,St Etienne Sur Chalaronne
01150,St Sorlin En Bugey
01150,St Vulbas
01150,Ste Julie
01150,Vaux En Bugey
01150,Villebois
01150,Sault Brenaz
01150,Souclin
01150,Lagnieu
01150,Leyment
01150,Blyes
01150,Chazey Sur Ain
01160,St Martin Du Mont
01160,Varambon
01160,Neuville Sur Ain
01160,Druillat
01160,Pont D Ain
01160,Priay
01160,La Trancliere
01170,Vesancy
01170,Mijoux
01170,Crozet
01170,Echenevex
01170,Gex
01170,Segny
01170,Cessy
01170,Chevry
01190,Gorrevod
01190,Ozan
01190,Pont De Vaux
01190,Reyssouze
01190,Sermoyer
01190,St Benigne
01190,St Etienne Sur Reyssouze
01190,Arbigny
01190,Boissey
01190,Boz
01190,Chavannes Sur Reyssouze
01190,Chevroux
01200,Villes
01200,Vouvray
01200,Montanges
01200,Ochiaz
01200,Confort
01200,Craz En Michaille
01200,Eloise
01200,Injoux Genissiat
01200,St Germain Sur Rhone
01200,Lancrans
01200,Leaz
01200,Bellegarde Sur Valserine
01200,Billiat
01200,Chatillon En Michaille
01200,Chezery Forens
01210,Versonnex
01210,Ornex
01210,Ferney Voltaire
01220,Divonne Les Bains
01220,Grilly
01220,Sauverny
01230,St Rambert En Bugey
01230,Tenay
01230,Torcieu
01230,Nivollet Montgriffon
01230,Oncieu
01230,Evosges
01230,Arandas
01230,Argis
01230,Chaley
01230,Cleyzieu
01230,Conand
