type,data-set,entityid,permission,role
RolePrivilege,0,default_data:0,abcreate,client_app
RolePrivilege,0,default_data:1,abcreatepref,client_app
RolePrivilege,0,default_data:2,abdelete,client_app
RolePrivilege,0,default_data:3,abdeletepref,client_app
RolePrivilege,0,default_data:4,abedit,client_app
RolePrivilege,0,default_data:5,abeditpref,client_app
RolePrivilege,0,default_data:6,abview,client_app
RolePrivilege,0,default_data:7,abviewsearch,client_app
RolePrivilege,0,default_data:8,anytagcreate,client_app
RolePrivilege,0,default_data:9,anytagdelete,client_app
RolePrivilege,0,default_data:10,anytagedit,client_app
RolePrivilege,0,default_data:11,anytagview,client_app
RolePrivilege,0,default_data:12,clientapp,client_app
RolePrivilege,0,default_data:13,usereditlang,client_app
RolePrivilege,0,default_data:14,abcreate,contact_manager
RolePrivilege,0,default_data:15,abcreatepref,contact_manager
RolePrivilege,0,default_data:16,abdelete,contact_manager
RolePrivilege,0,default_data:17,abdeletepref,contact_manager
RolePrivilege,0,default_data:18,abedit,contact_manager
RolePrivilege,0,default_data:19,abeditpref,contact_manager
RolePrivilege,0,default_data:20,abview,contact_manager
RolePrivilege,0,default_data:21,abviewmerge,contact_manager
RolePrivilege,0,default_data:22,abviewpending,contact_manager
RolePrivilege,0,default_data:23,abviewsearch,contact_manager
RolePrivilege,0,default_data:24,anytagcreate,contact_manager
RolePrivilege,0,default_data:25,anytagdelete,contact_manager
RolePrivilege,0,default_data:26,anytagedit,contact_manager
RolePrivilege,0,default_data:27,anytagview,contact_manager
RolePrivilege,0,default_data:28,usereditlang,contact_manager
RolePrivilege,0,default_data:29,abview,contact_viewer
RolePrivilege,0,default_data:30,abviewsearch,contact_viewer
RolePrivilege,0,default_data:31,anytagview,contact_viewer
RolePrivilege,0,default_data:32,usereditlang,contact_viewer
RolePrivilege,0,default_data:33,ruleadmin,rule_admin
RolePrivilege,0,default_data:34,usereditlang,rule_admin
RolePrivilege,0,default_data:35,abcreate,superuser
RolePrivilege,0,default_data:36,abcreatepref,superuser
RolePrivilege,0,default_data:37,abdelete,superuser
RolePrivilege,0,default_data:38,abdeletepref,superuser
RolePrivilege,0,default_data:39,abedit,superuser
RolePrivilege,0,default_data:40,abeditpref,superuser
RolePrivilege,0,default_data:41,abview,superuser
RolePrivilege,0,default_data:42,abviewmerge,superuser
RolePrivilege,0,default_data:43,abviewpending,superuser
RolePrivilege,0,default_data:44,abviewsearch,superuser
RolePrivilege,0,default_data:45,anytagcreate,superuser
RolePrivilege,0,default_data:46,anytagdelete,superuser
RolePrivilege,0,default_data:47,anytagedit,superuser
RolePrivilege,0,default_data:48,anytagview,superuser
RolePrivilege,0,default_data:49,archive,superuser
RolePrivilege,0,default_data:50,attrmanage,superuser
RolePrivilege,0,default_data:51,attrview,superuser
RolePrivilege,0,default_data:52,buswkmanage,superuser
RolePrivilege,0,default_data:53,buswkview,superuser
RolePrivilege,0,default_data:54,clientapp,superuser
RolePrivilege,0,default_data:55,debugtools,superuser
RolePrivilege,0,default_data:56,docedit,superuser
RolePrivilege,0,default_data:57,docview,superuser
RolePrivilege,0,default_data:58,eventmessageview,superuser
